Segmentation_id,first_anchor,last_anchor
seg-r0,0,129
seg-r1,130,265
seg-r2,266,433
seg-r3,434,520
seg-r4,521,657
seg-r5,658,760
seg-r6,761,858
seg-r7,859,927
seg-r8,928,955
seg-r9,956,1054
seg-r10,1055,1159
seg-r11,1160,1267
seg-r12,1268,1373
seg-r13,1374,1472
seg-r14,1473,1662
seg-r15,1663,1790
seg-r16,1791,1873
seg-r17,1874,1992
seg-r18,1993,2029
seg-r19,2030,2155
seg-r20,2156,2293
seg-r21,2294,2339
seg-r22,2340,2445
seg-r23,2446,2526
seg-r24,2527,2631
seg-r25,2632,2747
seg-r26,2748,2856
seg-r27,2857,3086
seg-r28,3087,3207
seg-r29,3208,3239
seg-r30,3240,3327
seg-r31,3328,3376
seg-r32,3377,3460
seg-r33,3461,3588
seg-r34,3589,3663
seg-r35,3664,3801
seg-r36,3802,3861
seg-r37,3862,4038
seg-r38,4039,4140
seg-r39,4141,4237
seg-r40,4238,4305
seg-r41,4306,4412
seg-r42,4413,4524
seg-r43,4525,4641
seg-r44,4642,4752
seg-r45,4753,4859
seg-r46,4860,4964
seg-r47,4965,5060
seg-r48,5061,5158
seg-r49,5159,5297
seg-r50,5298,5395
seg-r51,5396,5500
seg-r52,5501,5554
seg-r53,5555,5668
seg-r54,5669,5784
seg-r55,5785,5899
seg-r56,5900,5996
seg-r57,5997,6111
seg-r58,6112,6219
seg-r59,6220,6272
seg-r60,6273,6362
seg-r61,6363,6477
seg-r62,6478,6598
seg-r63,6599,6681
seg-r64,6682,6806
seg-r65,6807,7119
seg-r66,7120,7226
seg-r67,7227,7332
seg-r68,7333,7401
seg-r69,7402,7500
seg-r70,7501,7566
seg-r71,7567,7755
seg-r72,7756,7850
seg-r73,7851,7939
seg-r74,7940,7993
seg-r75,7994,8074
seg-r76,8075,8161
seg-r77,8162,8200
seg-r78,8201,8335
seg-r79,8336,8424
seg-r80,8425,8699
seg-r81,8700,8782
seg-r82,8783,9008
seg-r83,9009,9113
seg-r84,9114,9241
seg-r85,9242,9354
seg-r86,9355,9449
seg-r87,9450,9526
seg-r88,9527,9630
seg-r89,9631,9818
seg-r90,9819,9891
seg-r91,9892,9990
seg-r92,9991,10095
seg-r93,10096,10194
seg-r94,10195,10360
seg-r95,10361,10467
seg-r96,10468,10636
seg-r97,10637,10734
seg-r98,10735,10840
seg-r99,10841,10953
seg-r100,10954,11025
seg-r101,11026,11114
seg-r102,11115,11202
seg-r103,11203,11262
seg-r104,11263,11345
seg-r105,11346,11457
seg-r106,11458,11484
seg-r107,11485,11510
seg-r108,11511,11634
seg-r109,11635,11691
seg-r110,11692,11741
seg-r111,11742,11812
seg-r112,11813,11893
seg-r113,11894,12008
seg-r114,12009,12177
seg-r115,12178,12249
seg-r116,12250,12309
seg-r117,12310,12397
seg-r118,12398,12483
seg-r119,12484,12617
seg-r120,12618,12796
seg-r121,12797,12862
seg-r122,12863,12923
seg-r123,12924,13022
seg-r124,13023,13092
seg-r125,13093,13153
seg-r126,13154,13371
seg-r127,13372,13481
seg-r128,13482,13523
seg-r129,13524,13772
seg-r130,13773,13866
seg-r131,13867,13988
seg-r132,13989,14110
seg-r133,14111,14220
seg-r134,14221,14332
seg-r135,14333,14417
seg-r136,14418,14535
seg-r137,14536,14672
seg-r138,14673,14781
seg-r139,14782,14854
seg-r140,14855,14948
seg-r141,14949,15065
seg-r142,15066,15081
seg-r143,15082,15280
seg-r144,15281,15451
seg-r145,15452,15553
seg-r146,15554,15666
seg-r147,15667,15839
seg-r148,15840,15945
seg-r149,15946,16031
seg-r150,16032,16110
seg-r151,16111,16140
seg-r152,16141,16234
seg-r153,16235,16342
seg-r154,16343,16422
seg-r155,16423,16538
seg-r156,16539,16656
seg-r157,16657,16748
seg-r158,16749,16788
seg-r159,16789,16904
seg-r160,16905,17003
seg-r161,17004,17252
seg-r162,17253,17350
seg-r163,17351,17487
seg-r164,17488,17600
seg-r165,17601,17692
seg-r166,17693,17789
seg-r167,17790,17940
seg-r168,17941,18038
seg-r169,18039,18159
seg-r170,18160,18264
seg-r171,18265,18353
seg-r172,18354,18419
seg-r173,18420,18478
seg-r174,18479,18562
seg-r175,18563,18649
seg-r176,18650,18751
seg-r177,18752,18857
seg-r178,18858,18982
seg-r179,18983,19095
seg-r180,19096,19157
seg-r181,19158,19258
seg-r182,19259,19286
seg-r183,19287,19355
seg-r184,19356,19451
seg-r185,19452,19630
seg-r186,19631,19804
seg-r187,19805,19872
seg-r188,19873,19967
seg-r189,19968,20065
seg-r190,20066,20131
seg-r191,20132,20229
seg-r192,20230,20337
seg-r193,20338,20499
seg-r194,20500,20603
seg-r195,20604,20649
seg-r196,20650,20761
seg-r197,20762,20879
seg-r198,20880,20988
seg-r199,20989,21079
seg-r200,21080,21189
seg-r201,21190,21293
seg-r202,21294,21402
seg-r203,21403,21558
seg-r204,21559,21613
seg-r205,21614,21761
seg-r206,21762,21911
seg-r207,21912,22079
seg-r208,22080,22236
seg-r209,22237,22368
seg-r210,22369,22498
seg-r211,22499,22617
seg-r212,22618,22753
seg-r213,22754,22832
seg-r214,22833,22941
seg-r215,22942,23053
seg-r216,23054,23127
seg-r217,23128,23204
seg-r218,23205,23308
seg-r219,23309,23353
seg-r220,23354,23463
seg-r221,23464,23556
seg-r222,23557,23665
seg-r223,23666,23757
seg-r224,23758,23797
seg-r225,23798,23877
seg-r226,23878,23969
seg-r227,23970,24101
seg-r228,24102,24180
seg-r229,24181,24329
seg-r230,24330,24407
seg-r231,24408,24538
seg-r232,24539,24714
seg-r233,24715,24774
seg-r234,24775,24872
seg-r235,24873,24991
seg-r236,24992,25032
seg-r237,25033,25118
seg-r238,25119,25176
seg-r239,25177,25268
seg-r240,25269,25302
seg-r241,25303,25355
seg-r242,25356,25454
seg-r243,25455,25520
seg-r244,25521,25611
seg-r245,25612,25708
seg-r246,25709,25844
seg-r247,25845,25979
seg-r248,25980,26098
seg-r249,26099,26163
seg-r250,26164,26406
seg-r251,26407,26533
seg-r252,26534,26557
seg-r253,26558,26613
seg-r254,26614,26691
seg-r255,26692,26705
seg-r256,26706,26826
seg-r257,26827,26899
seg-r258,26900,26947
seg-r259,26948,27128
seg-r260,27129,27223
seg-r261,27224,27300
seg-r262,27301,27343
seg-r263,27344,27379
seg-r264,27380,27522
seg-r265,27523,27643
seg-r266,27644,27773
seg-r267,27774,27853
seg-r268,27854,28080
seg-r269,28081,28263
seg-r270,28264,28339
seg-r271,28340,28450
seg-r272,28451,28543
seg-r273,28544,28690
seg-r274,28691,28845
seg-r275,28846,28992
seg-r276,28993,29133
seg-r277,29134,29237
seg-r278,29238,29373
seg-r279,29374,29522
seg-r280,29523,29672
seg-r281,29673,29720
seg-r282,29721,29779
seg-r283,29780,29877
seg-r284,29878,29989
seg-r285,29990,30107
seg-r286,30108,30196
seg-r287,30197,30303
seg-r288,30304,30484
seg-r289,30485,30585
seg-r290,30586,30686
seg-r291,30687,30901
seg-r292,30902,30932
seg-r293,30933,31037
seg-r294,31038,31153
seg-r295,31154,31316
seg-r296,31317,31431
seg-r297,31432,31664
seg-r298,31665,31780
seg-r299,31781,31942
seg-r300,31943,32021
seg-r301,32022,32130
seg-r302,32131,32232
seg-r303,32233,32352
seg-r304,32353,32455
seg-r305,32456,32554
seg-r306,32555,32607
seg-r307,32608,32630
seg-r308,32631,32734
seg-r309,32735,32855
seg-r310,32856,32934
seg-r311,32935,32959
seg-r312,32960,33091
seg-r313,33092,33181
seg-r314,33182,33286
seg-r315,33287,33346
seg-r316,33347,33456
seg-r317,33457,33583
seg-r318,33584,33690
seg-r319,33691,33794
seg-r320,33795,33810
seg-r321,33811,33918
seg-r322,33919,34006
seg-r323,34007,34139
seg-r324,34140,34243
seg-r325,34244,34357
seg-r326,34358,34449
seg-r327,34450,34535
seg-r328,34536,34589
seg-r329,34590,34714
seg-r330,34715,34897
seg-r331,34898,34953
seg-r332,34954,35197
seg-r333,35198,35306
seg-r334,35307,35343
seg-r335,35344,35471
seg-r336,35472,35599
seg-r337,35600,35693
seg-r338,35694,35861
seg-r339,35862,35933
seg-r340,35934,35980
seg-r341,35981,36165
seg-r342,36166,36192
seg-r343,36193,36273
seg-r344,36274,36327
seg-r345,36328,36445
seg-r346,36446,36515
seg-r347,36516,36554
seg-r348,36555,36640
seg-r349,36641,36728
seg-r350,36729,36839
seg-r351,36840,36904
seg-r352,36905,37006
seg-r353,37007,37110
seg-r354,37111,37208
seg-r355,37209,37258
seg-r356,37259,37322
seg-r357,37323,37427
seg-r358,37428,37571
seg-r359,37572,37642
seg-r360,37643,37738
seg-r361,37739,37847
seg-r362,37848,37885
seg-r363,37886,37981
seg-r364,37982,38134
seg-r365,38135,38209
seg-r366,38210,38279
seg-r367,38280,38506
seg-r368,38507,38582
seg-r369,38583,38689
seg-r370,38690,38881
seg-r371,38882,39064
seg-r372,39065,39204
seg-r373,39205,39320
seg-r374,39321,39420
seg-r375,39421,39524
seg-r376,39525,39638
seg-r377,39639,39741
seg-r378,39742,39882
seg-r379,39883,39992
seg-r380,39993,40038
seg-r381,40039,40087
seg-r382,40088,40180
seg-r383,40181,40287
seg-r384,40288,40342
seg-r385,40343,40362
seg-r386,40363,40429
seg-r387,40430,40495
seg-r388,40496,40554
seg-r389,40555,40685
seg-r390,40686,40756
seg-r391,40757,40910
seg-r392,40911,41029
